headlines,outcome,triples,relations,is_in_triples,is_in_entities
A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against COVID-19.,0,"[[{'subject': 'picture', 'relation': 'showing', 'object': 'crowd in Berlin'}, {'subject': 'picture', 'relation': 'allegedly showing crowd on', 'object': 'August 1st protesting agains'}, {'subject': 'picture', 'relation': 'showing crowd on', 'object': 'August 1st agains'}, {'subject': 'picture', 'relation': 'showing crowd in Berlin on', 'object': 'August 1st agains'}, {'subject': 'picture', 'relation': 'allegedly showing crowd on', 'object': 'August 1st agains'}, {'subject': 'picture', 'relation': 'allegedly showing crowd in Berlin on', 'object': 'August 1st agains'}, {'subject': 'picture', 'relation': 'allegedly showing crowd in Berlin on', 'object': 'August 1st protesting agains'}, {'subject': 'crowd', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Berlin'}, {'subject': 'picture', 'relation': 'showing crowd in Berlin on', 'object': 'August 1st protesting agains'}, {'subject': 'picture', 'relation': 'allegedly showing', 'object': 'crowd in Berlin'}, {'subject': 'picture', 'relation': 'showing crowd on', 'object': 'August 1st protesting agains'}, {'subject': 'picture', 'relation': 'allegedly showing', 'object': 'crowd'}, {'subject': 'picture', 'relation': 'showing', 'object': 'crowd'}]]","['showing', 'allegedly showing crowd on', 'showing crowd on', 'showing crowd in Berlin on', 'allegedly showing crowd on', 'allegedly showing crowd in Berlin on', 'allegedly showing crowd in Berlin on', 'is in', 'showing crowd in Berlin on', 'allegedly showing', 'showing crowd on', 'allegedly showing', 'showing']","[{'subject': 'crowd', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Berlin'}]","['crowd', 'http://dbpedia.org/resource/Berlin']"
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,0,"[[{'subject': 'infected inmigrants', 'relation': 'is in', 'object': 'Argelia'}]]",['is in'],"[{'subject': 'infected inmigrants', 'relation': 'is in', 'object': 'Argelia'}]","['infected inmigrants', 'Argelia']"
A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against COVID-19.,0,"[[{'subject': 'picture', 'relation': 'showing', 'object': 'crowd in Berlin'}, {'subject': 'picture', 'relation': 'allegedly showing crowd on', 'object': 'August 1st protesting agains'}, {'subject': 'picture', 'relation': 'showing crowd on', 'object': 'August 1st agains'}, {'subject': 'picture', 'relation': 'showing crowd in Berlin on', 'object': 'August 1st agains'}, {'subject': 'picture', 'relation': 'allegedly showing crowd on', 'object': 'August 1st agains'}, {'subject': 'picture', 'relation': 'allegedly showing crowd in Berlin on', 'object': 'August 1st agains'}, {'subject': 'picture', 'relation': 'allegedly showing crowd in Berlin on', 'object': 'August 1st protesting agains'}, {'subject': 'crowd', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Berlin'}, {'subject': 'picture', 'relation': 'showing crowd in Berlin on', 'object': 'August 1st protesting agains'}, {'subject': 'picture', 'relation': 'allegedly showing', 'object': 'crowd in Berlin'}, {'subject': 'picture', 'relation': 'showing crowd on', 'object': 'August 1st protesting agains'}, {'subject': 'picture', 'relation': 'allegedly showing', 'object': 'crowd'}, {'subject': 'picture', 'relation': 'showing', 'object': 'crowd'}]]","['showing', 'allegedly showing crowd on', 'showing crowd on', 'showing crowd in Berlin on', 'allegedly showing crowd on', 'allegedly showing crowd in Berlin on', 'allegedly showing crowd in Berlin on', 'is in', 'showing crowd in Berlin on', 'allegedly showing', 'showing crowd on', 'allegedly showing', 'showing']","[{'subject': 'crowd', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Berlin'}]","['crowd', 'http://dbpedia.org/resource/Berlin']"
"Facebook posts shared thousands of times claim Washington’s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a “high-risk state for the coronavirus.",0,"[[{'subject': 'http://dbpedia.org/resource/John_Lewis_Partnership', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/University_of_Georgia'}, {'subject': 'http://dbpedia.org/resource/George_Washington', 'relation': '’s', 'object': 'http://dbpedia.org/resource/Mayor'}]]","['is in', '’s']","[{'subject': 'http://dbpedia.org/resource/John_Lewis_Partnership', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/University_of_Georgia'}]","['http://dbpedia.org/resource/John_Lewis_Partnership', 'http://dbpedia.org/resource/University_of_Georgia']"
A photo collage has been shared hundreds of times in multiple posts on Facebook alongside a claim the images were taken during a protest against coronavirus restrictions in Germany in August 2020.,0,"[[{'subject': 'images', 'relation': 'were taken during', 'object': 'protest against coronavirus restrictions in Germany'}, {'subject': 'images', 'relation': 'were', 'object': 'alongside claim taken during protest against coronavirus restrictions in Germany in August 2020'}, {'subject': 'images', 'relation': 'were', 'object': 'alongside claim taken during protest against coronavirus restrictions in August 2020'}, {'subject': 'coronavirus restrictions', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Germany'}, {'subject': 'images', 'relation': 'were', 'object': 'alongside claim taken during protest'}, {'subject': 'images', 'relation': 'were', 'object': 'alongside claim taken during protest against coronavirus restrictions'}, {'subject': 'images', 'relation': 'were taken during', 'object': 'protest against coronavirus restrictions'}, {'subject': 'images', 'relation': 'were', 'object': 'alongside claim taken during protest against coronavirus restrictions in Germany'}, {'subject': 'images', 'relation': 'were', 'object': 'taken during protest in August 2020'}, {'subject': 'images', 'relation': 'were', 'object': 'taken during protest against coronavirus restrictions in Germany in August 2020'}, {'subject': 'images', 'relation': 'were', 'object': 'alongside claim taken in August 2020'}, {'subject': 'images', 'relation': 'were', 'object': 'taken'}, {'subject': 'images', 'relation': 'were', 'object': 'alongside claim taken during protest in August 2020'}, {'subject': 'images', 'relation': 'were taken during', 'object': 'protest'}, {'subject': 'images', 'relation': 'were', 'object': 'taken during protest against coronavirus restrictions in August 2020'}, {'subject': 'images', 'relation': 'were taken alongside', 'object': 'claim'}, {'subject': 'images', 'relation': 'were taken in', 'object': 'August 2020'}]]","['were taken during', 'were', 'were', 'is in', 'were', 'were', 'were taken during', 'were', 'were', 'were', 'were', 'were', 'were', 'were taken during', 'were', 'were taken alongside', 'were taken in']","[{'subject': 'coronavirus restrictions', 'relation': 'is in', 'object': 'http://dbpedia.org/resource/Germany'}]","['coronavirus restrictions', 'http://dbpedia.org/resource/Germany']"
A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against coronavirus restrictions in the German capital of Berlin in August 2020.,0,"[[{'subject': 'coronavirus restrictions', 'relation': 'is in', 'object': 'German capital of Berlin'}, {'subject': 'protest', 'relation': 'is in', 'object': 'August 2020'}]]","['is in', 'is in']","[{'subject': 'coronavirus restrictions', 'relation': 'is in', 'object': 'German capital of Berlin'}, {'subject': 'protest', 'relation': 'is in', 'object': 'August 2020'}]","['coronavirus restrictions', 'German capital of Berlin', 'protest', 'August 2020']"
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): “The North American economy suffered a drop in its GDP of 33percent. It is the biggest drop in the last 70 years ",0,"[[{'subject': 'Province', 'relation': 'of Governor is', 'object': 'http://dbpedia.org/resource/Argentina'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'North American economy GDP'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'American economy GDP of 33percent'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'economy GDP of 33percent'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'American economy GDP of 33percent'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'economy GDP'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'American economy GDP'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'http://dbpedia.org/resource/Axel_Kicillof', 'relation': 'Governor of', 'object': 'Province'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'American economy GDP'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'North American economy GDP'}, {'subject': 'drop', 'relation': 'is in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'American economy GDP'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'American economy GDP of 33percent'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'economy GDP'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'economy GDP of 33percent'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'economy GDP'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'economy GDP of 33percent'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'North American economy GDP'}], [{'subject': 'It', 'relation': 'is', 'object': 'biggest drop'}, {'subject': 'It', 'relation': 'is biggest drop in', 'object': 'last 70 years'}, {'subject': 'biggest drop', 'relation': 'is in', 'object': 'last 70 years'}, {'subject': 'It', 'relation': 'is', 'object': 'drop'}, {'subject': 'It', 'relation': 'is drop in', 'object': 'last 70 years'}, {'subject': 'It', 'relation': 'is drop in', 'object': '70 years'}, {'subject': 'It', 'relation': 'is biggest drop in', 'object': '70 years'}]]","['of Governor is', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'Governor of', 'drop in', 'drop in', 'is in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'is', 'is biggest drop in', 'is in', 'is', 'is drop in', 'is drop in', 'is biggest drop in']","[{'subject': 'drop', 'relation': 'is in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'biggest drop', 'relation': 'is in', 'object': 'last 70 years'}]","['drop', 'North American economy GDP of 33percent', 'biggest drop', 'last 70 years']"
"Tasuku Honjo, Nobel Prize in Medicine, said that the coronavirus “is not natural",0,"[[{'subject': 'http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine', 'relation': 'is in', 'object': 'Medicine'}, {'subject': 'http://dbpedia.org/resource/Tasuku_Honjo', 'relation': 'Prize in', 'object': 'Medicine'}]]","['is in', 'Prize in']","[{'subject': 'http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine', 'relation': 'is in', 'object': 'Medicine'}]","['http://dbpedia.org/resource/Nobel_Prize_in_Physiology_or_Medicine', 'Medicine']"
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): “The North American economy suffered a drop in its GDP of 33percent. It is the biggest drop in the last 70 years ",0,"[[{'subject': 'Province', 'relation': 'of Governor is', 'object': 'http://dbpedia.org/resource/Argentina'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'North American economy GDP'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'American economy GDP of 33percent'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'economy GDP of 33percent'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'American economy GDP of 33percent'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'economy GDP'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'American economy GDP'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'http://dbpedia.org/resource/Axel_Kicillof', 'relation': 'Governor of', 'object': 'Province'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'American economy GDP'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'North American economy GDP'}, {'subject': 'drop', 'relation': 'is in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'American economy GDP'}, {'subject': 'American economy', 'relation': 'drop in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'American economy GDP of 33percent'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'economy GDP'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'economy GDP of 33percent'}, {'subject': 'North American economy', 'relation': 'drop in', 'object': 'economy GDP'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'economy GDP of 33percent'}, {'subject': 'economy', 'relation': 'drop in', 'object': 'North American economy GDP'}], [{'subject': 'It', 'relation': 'is', 'object': 'biggest drop'}, {'subject': 'It', 'relation': 'is biggest drop in', 'object': 'last 70 years'}, {'subject': 'biggest drop', 'relation': 'is in', 'object': 'last 70 years'}, {'subject': 'It', 'relation': 'is', 'object': 'drop'}, {'subject': 'It', 'relation': 'is drop in', 'object': 'last 70 years'}, {'subject': 'It', 'relation': 'is drop in', 'object': '70 years'}, {'subject': 'It', 'relation': 'is biggest drop in', 'object': '70 years'}]]","['of Governor is', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'Governor of', 'drop in', 'drop in', 'is in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'drop in', 'is', 'is biggest drop in', 'is in', 'is', 'is drop in', 'is drop in', 'is biggest drop in']","[{'subject': 'drop', 'relation': 'is in', 'object': 'North American economy GDP of 33percent'}, {'subject': 'biggest drop', 'relation': 'is in', 'object': 'last 70 years'}]","['drop', 'North American economy GDP of 33percent', 'biggest drop', 'last 70 years']"
"Lojas Americanas, a Brazilian retail company, is offering free gift cards for families in distress caused by the pandemic",0,"[[{'subject': 'http://dbpedia.org/resource/Lojas_Americanas', 'relation': 'is offering', 'object': 'free gift cards for families'}, {'subject': 'http://dbpedia.org/resource/Lojas_Americanas', 'relation': 'is offering', 'object': 'free gift cards'}, {'subject': 'families', 'relation': 'is in', 'object': 'distress'}, {'subject': 'http://dbpedia.org/resource/Lojas_Americanas', 'relation': 'is offering', 'object': 'gift cards for families in distress'}, {'subject': 'http://dbpedia.org/resource/Lojas_Americanas', 'relation': 'is offering', 'object': 'gift cards for families'}, {'subject': 'http://dbpedia.org/resource/Lojas_Americanas', 'relation': 'is offering', 'object': 'free gift cards for families in distress'}, {'subject': 'http://dbpedia.org/resource/Lojas_Americanas', 'relation': 'is offering', 'object': 'gift cards'}]]","['is offering', 'is offering', 'is in', 'is offering', 'is offering', 'is offering', 'is offering']","[{'subject': 'families', 'relation': 'is in', 'object': 'distress'}]","['families', 'distress']"
"Spanish Prime Minister, Pedro Sánchez, said this Monday, July 27 in an interview for ‘Informativos Telecinco’ that [min. 1:19] “in most of the [Spanish] territory the accumulated incidence of the virus is still very low, lower than I insist […] on the average also for the United Kingdom.",0,"[[{'subject': 'July 27', 'relation': 'is in', 'object': 'interview for Informativos Telecinco'}, {'subject': 'http://dbpedia.org/resource/Prime_Minister_of_Spain', 'relation': 'said', 'object': 'this'}, {'subject': 'http://dbpedia.org/resource/Prime_Minister_of_Spain', 'relation': 'said', 'object': 'this'}], [{'subject': 'accumulated incidence', 'relation': 'is low in', 'object': 'most of Spanish territory'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is', 'object': 'very low'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is still very low in', 'object': 'most of Spanish territory'}, {'subject': 'accumulated incidence', 'relation': 'is', 'object': 'very low'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is still low in', 'object': 'most'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is still low in', 'object': 'most of territory'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is', 'object': 'still low'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is very low in', 'object': 'most of territory'}, {'subject': 'accumulated incidence', 'relation': 'is still very low in', 'object': 'most of territory'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is low in', 'object': 'most of territory'}, {'subject': 'accumulated incidence', 'relation': 'is very low in', 'object': 'most of territory'}, {'subject': 'accumulated incidence', 'relation': 'is', 'object': 'still very low'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is', 'object': 'still very low'}, {'subject': 'accumulated incidence', 'relation': 'is low in', 'object': 'most of territory'}, {'subject': 'accumulated incidence', 'relation': 'is', 'object': 'low'}, {'subject': 'accumulated incidence', 'relation': 'is very low in', 'object': 'most of Spanish territory'}, {'subject': 'accumulated incidence', 'relation': 'is still low in', 'object': 'most of territory'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is low in', 'object': 'most of Spanish territory'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is still very low in', 'object': 'most of territory'}, {'subject': 'accumulated incidence', 'relation': 'is very low in', 'object': 'most'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is low in', 'object': 'most'}, {'subject': 'accumulated incidence', 'relation': 'is still very low in', 'object': 'most'}, {'subject': 'accumulated incidence', 'relation': 'is still low in', 'object': 'most'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is very low in', 'object': 'most of Spanish territory'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is', 'object': 'low'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is still low in', 'object': 'most of Spanish territory'}, {'subject': 'accumulated incidence', 'relation': 'is low in', 'object': 'most'}, {'subject': 'accumulated incidence', 'relation': 'is still very low in', 'object': 'most of Spanish territory'}, {'subject': 'accumulated incidence', 'relation': 'is still low in', 'object': 'most of Spanish territory'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is still very low in', 'object': 'most'}, {'subject': 'accumulated incidence', 'relation': 'is', 'object': 'still low'}, {'subject': 'http://dbpedia.org/resource/Incidence_(epidemiology)', 'relation': 'is very low in', 'object': 'most'}]]","['is in', 'said', 'said', 'is low in', 'is', 'is still very low in', 'is', 'is still low in', 'is still low in', 'is', 'is very low in', 'is still very low in', 'is low in', 'is very low in', 'is', 'is', 'is low in', 'is', 'is very low in', 'is still low in', 'is low in', 'is still very low in', 'is very low in', 'is low in', 'is still very low in', 'is still low in', 'is very low in', 'is', 'is still low in', 'is low in', 'is still very low in', 'is still low in', 'is still very low in', 'is', 'is very low in']","[{'subject': 'July 27', 'relation': 'is in', 'object': 'interview for Informativos Telecinco'}]","['July 27', 'interview for Informativos Telecinco']"
A photo of man with swollen face shows side effect of CoronaVac in Brazilian volunteer,0,"[[{'subject': 'photo', 'relation': 'shows', 'object': 'side effect in volunteer'}, {'subject': 'side effect', 'relation': 'is in', 'object': 'Brazilian volunteer'}, {'subject': 'photo', 'relation': 'shows', 'object': 'side effect of CoronaVac in volunteer'}, {'subject': 'man', 'relation': 'is with', 'object': 'swollen face'}, {'subject': 'photo', 'relation': 'shows', 'object': 'side effect in Brazilian volunteer'}, {'subject': 'photo', 'relation': 'shows', 'object': 'side effect'}, {'subject': 'photo', 'relation': 'shows', 'object': 'side effect of CoronaVac in Brazilian volunteer'}, {'subject': 'photo', 'relation': 'shows', 'object': 'side effect of CoronaVac'}]]","['shows', 'is in', 'shows', 'is with', 'shows', 'shows', 'shows', 'shows']","[{'subject': 'side effect', 'relation': 'is in', 'object': 'Brazilian volunteer'}]","['side effect', 'Brazilian volunteer']"
